fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
9.2;0.4;0.2;2.4;0.213;5;8;0.9951;3.34;0.64;8.9;6
8.1;0.5;0.36;1.9;0.017;10;27;0.9929;3.26;0.8;11.3;6
9.4;0.77;0.31;2.1;0.015;1;6;1.001;3.42;0.53;9.1;5
11.0;0.41;0.35;6.3;0.178;2;6;0.9973;3.28;0.71;9.5;6
7.9;0.38;0.31;1.9;0.057;7;23;0.9963;3.64;0.68;10.7;6
7.9;0.44;0.52;1.6;0.069;35;101;0.9993;3.53;0.81;11.1;6
11.1;0.36;0.09;1.6;0.052;16;57;0.997;3.11;0.77;10.7;7
9.7;0.55;0.14;2.1;0.018;2;6;0.9992;3.34;0.76;10.8;6
7.5;0.82;0.12;3.3;0.1;23;57;0.9991;3.42;0.69;9.2;5
9.3;0.59;0.43;1.5;0.095;17;55;0.9943;3.24;0.37;9.9;5
7.5;0.48;0.45;3.1;0.034;12;62;0.9976;3.5;0.68;8.4;5
7.5;0.48;0.36;1.2;0.034;22;59;1.0;3.48;0.67;9.4;6
8.7;0.25;0.5;2.0;0.121;7;22;0.9948;3.3;0.79;9.0;7
5.0;0.69;0.04;3.4;0.017;4;15;0.9948;3.46;0.59;10.4;5
5.3;0.51;0.6;1.8;0.14;10;24;0.9951;2.94;0.67;12.9;6
7.3;0.5;0.57;2.4;0.03;11;42;0.9984;3.52;0.67;11.2;6
6.6;1.1;0.41;1.5;0.066;10;18;0.9972;3.45;0.54;8.4;3
8.9;0.58;0.62;3.2;0.177;11;29;0.993;3.14;0.46;8.8;5
6.7;0.39;0.0;1.3;0.08;37;101;0.9973;3.35;0.72;9.0;6
5.9;0.45;0.17;4.1;0.044;29;90;0.9962;3.0;0.83;8.5;6
10.9;0.73;0.13;1.5;0.082;26;39;0.9965;3.19;0.55;10.1;5
7.9;0.55;0.41;4.3;0.037;20;83;0.9951;3.48;0.62;10.7;6
8.4;0.27;0.07;1.9;0.031;35;118;0.9974;3.31;0.8;9.0;7
5.8;0.69;0.42;3.1;0.355;2;9;0.9987;3.3;0.82;10.2;5
7.4;0.41;0.54;1.8;0.095;5;20;0.9955;3.32;0.7;10.7;6
8.5;0.86;0.41;4.7;0.074;9;22;0.9935;3.3;0.73;11.2;5
6.3;0.72;0.33;1.4;0.038;23;35;0.9961;3.46;0.75;10.6;5
9.0;0.45;0.08;1.5;0.015;9;37;0.9981;3.22;0.78;10.8;6
7.3;0.76;0.11;2.2;0.014;18;49;0.9959;3.38;0.48;10.4;5
7.8;0.54;0.51;1.3;0.06;3;6;0.9939;3.13;0.98;9.3;6
7.3;0.68;0.42;1.5;0.098;4;16;0.9982;3.43;0.7;9.6;5
11.5;0.61;0.26;5.5;0.058;17;83;0.9994;3.26;0.78;9.0;5
8.3;0.38;0.19;6.8;0.122;3;9;0.9967;3.3;0.53;12.0;6
6.5;0.41;0.0;1.9;0.014;6;23;0.9936;3.26;0.63;8.8;6
9.8;0.71;0.06;5.1;0.039;5;10;0.9961;3.27;0.72;11.4;5
6.2;0.47;0.64;2.4;0.028;6;10;0.997;3.16;0.35;8.9;5
8.7;0.46;0.02;1.7;0.048;16;59;0.9952;3.36;0.5;11.2;6
4.9;0.36;0.31;3.0;0.017;7;22;0.9978;3.4;0.53;11.5;6
6.0;0.6;0.47;2.8;0.197;11;28;0.995;3.11;0.44;11.7;5
8.7;0.9;0.03;8.0;0.027;2;10;0.9967;3.22;0.68;9.3;4
9.6;0.34;0.31;1.7;0.165;21;33;0.9963;3.32;0.65;10.6;7
8.6;0.53;0.45;2.9;0.045;7;13;0.9979;3.22;0.9;9.8;6
8.1;0.78;0.27;1.3;0.266;14;35;0.9967;3.28;0.47;9.5;5
7.8;0.51;0.83;1.4;0.06;17;45;0.9963;3.56;0.7;10.5;6
5.7;0.61;0.0;1.2;0.172;4;16;0.9952;3.15;0.51;11.3;5
7.1;0.34;0.48;12.5;0.012;27;82;0.9968;2.95;0.37;9.8;6
7.5;0.6;0.24;3.6;0.095;12;36;0.9962;3.22;0.76;10.8;5
10.2;0.49;0.42;3.5;0.152;8;15;0.995;3.26;0.77;9.4;6
8.9;0.7;0.36;2.3;0.021;3;13;0.997;3.24;0.75;9.3;5
5.3;0.74;0.13;1.7;0.018;35;74;0.9974;3.35;0.43;10.1;5
8.9;0.99;0.32;1.4;0.045;18;35;0.9961;3.15;0.67;10.1;3
7.6;0.63;0.0;1.7;0.175;4;10;0.9985;3.13;0.76;11.1;5
7.1;0.59;0.39;1.9;0.059;6;19;0.9972;3.21;0.82;9.1;5
9.4;0.56;0.33;3.3;0.057;21;51;0.9943;3.21;0.76;12.7;6
10.1;0.46;0.4;2.4;0.021;15;54;0.9992;3.64;0.82;8.5;6
9.9;0.59;0.48;1.3;0.012;18;51;0.9982;3.55;0.84;10.7;6
6.9;0.48;0.34;1.2;0.112;8;31;0.9986;3.05;0.68;10.1;6
7.8;0.56;0.3;1.4;0.017;16;55;0.9975;3.01;0.74;9.7;5
8.9;0.76;0.1;2.0;0.072;7;30;0.9923;3.3;0.83;10.2;5
10.0;0.35;0.13;5.3;0.16;4;10;0.9988;3.61;0.72;11.1;7
7.5;0.73;0.5;2.7;0.026;13;48;0.9968;3.41;0.86;11.3;5
8.0;0.76;0.55;3.6;0.078;46;72;0.9974;3.31;0.81;10.2;5
6.4;0.51;0.22;2.1;0.017;5;29;0.9977;3.24;0.55;10.8;6
6.2;0.15;0.28;1.9;0.068;8;31;1.0004;3.48;0.44;9.0;7
9.7;0.42;0.09;1.4;0.023;14;40;0.9957;3.34;0.66;10.2;6
10.7;0.76;0.5;4.3;0.092;10;29;0.9957;3.58;0.46;10.8;4
8.2;0.52;0.4;3.5;0.034;23;65;0.9951;3.05;0.67;8.4;5
10.1;0.35;0.65;1.5;0.049;18;81;0.9947;3.38;0.66;10.5;6
8.9;0.44;0.1;2.3;0.067;2;6;0.9947;3.22;0.88;10.2;6
7.2;0.68;0.2;2.2;0.023;72;190;0.9932;3.37;0.74;11.8;5
8.9;0.63;0.32;2.7;0.093;18;36;0.9975;3.35;0.82;10.6;5
11.0;0.49;0.4;5.6;0.034;25;99;1.0005;3.39;0.57;10.9;6
8.3;0.46;0.23;2.5;0.077;14;50;1.0006;3.46;0.92;10.1;6
11.0;0.46;0.1;2.4;0.022;24;87;0.9951;3.53;0.81;11.1;6
4.6;0.36;0.44;1.3;0.082;2;7;0.9962;3.61;0.73;11.0;6
9.8;0.82;0.41;1.3;0.02;6;17;0.999;3.31;0.35;9.0;4
8.5;0.47;0.09;1.5;0.045;26;113;0.9975;3.23;0.86;10.8;6
7.8;0.75;0.54;1.2;0.029;4;16;0.997;3.12;0.96;11.7;5
8.5;0.8;0.5;3.2;0.095;2;7;0.9962;3.38;0.66;11.5;5
4.9;0.71;0.3;3.1;0.03;20;74;0.9989;3.44;0.66;10.4;5
7.9;0.45;0.29;1.4;0.14;23;72;0.9947;3.1;0.57;10.8;6
8.9;0.6;0.38;3.9;0.145;3;6;0.9976;3.49;0.38;11.4;5
10.9;0.52;0.1;1.5;0.025;24;53;0.9974;3.3;0.56;9.2;5
7.4;0.37;0.28;1.7;0.069;15;58;0.9968;3.12;0.94;10.9;7
6.9;0.59;0.0;1.6;0.018;10;39;0.9982;3.18;0.84;8.4;5
7.4;0.32;0.44;1.9;0.042;22;86;0.9968;3.17;0.53;11.3;6
9.9;0.74;0.0;1.6;0.087;8;25;0.9957;3.17;0.56;10.0;5
8.9;0.44;0.56;2.2;0.077;4;14;0.9969;3.4;1.02;10.3;6
7.4;0.56;0.21;2.0;0.071;5;15;0.9937;3.44;0.48;9.8;5
9.2;0.58;0.23;7.7;0.032;9;33;0.9979;3.57;0.54;10.4;5
8.5;0.48;0.15;1.3;0.04;10;29;0.9983;3.2;0.58;10.7;6
10.0;0.63;0.21;1.4;0.019;21;44;0.9955;3.36;0.43;11.2;5
7.1;0.44;0.55;1.3;0.088;20;73;0.995;3.21;0.57;11.8;6
7.7;0.68;0.0;2.7;0.054;11;46;0.9955;3.31;0.57;10.5;5
7.6;0.29;0.52;1.3;0.086;19;96;0.9966;3.08;0.5;8.6;6
5.8;0.55;0.34;3.9;0.029;4;11;0.9971;3.14;0.88;11.8;6
8.8;0.88;0.04;2.3;0.036;2;6;0.9998;3.43;0.46;8.8;4
8.8;0.35;0.06;2.3;0.036;26;71;0.9995;3.08;0.63;10.0;6
8.3;0.41;0.6;2.4;0.014;2;6;0.9983;3.41;0.51;9.9;6
7.9;0.62;0.09;1.5;0.037;4;14;0.9969;3.21;0.62;10.4;5
5.9;0.56;0.05;1.5;0.11;15;52;0.9949;3.01;0.5;9.1;5
7.6;0.59;0.49;1.8;0.149;7;24;0.9999;2.92;0.67;9.0;5
7.7;0.62;0.34;2.6;0.056;26;94;0.9962;3.54;0.71;10.4;5
6.9;0.64;0.09;1.6;0.048;5;17;0.9972;3.02;0.9;9.6;5
8.0;0.73;0.31;1.4;0.014;1;6;0.9979;3.3;0.56;11.9;5
9.0;0.6;0.07;6.5;0.139;5;17;0.9968;3.37;0.93;9.8;5
